"Product Name","total_profit"
"Canon imageCLASS 2200 Advanced Copier","25199.93"
"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","7753.04"
"Hewlett Packard LaserJet 3310 Copier","6983.88"
"Canon PC1060 Personal Laser Copier","4570.93"
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color","4094.98"
"Ativa V4110MDD Micro-Cut Shredder","3772.95"
"3D Systems Cube Printer, 2nd Generation, Magenta","3717.97"
"Plantronics Savi W720 Multi-Device Wireless Headset System","3696.28"
"Ibico EPK-21 Electric Binding System","3345.28"
"Zebra ZM400 Thermal Label Printer","3343.54"
"Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room","3247.02"
"Hewlett Packard 610 Color Digital Copier / Printer","3124.94"
"Plantronics CS510 - Over-the-Head monaural Wireless Headset System","3085.03"
"Canon Imageclass D680 Copier / Fax","2799.96"
"Fellowes PB300 Plastic Comb Binding Machine","2518.06"
"Ibico Ibimaster 300 Manual Binding System","2318.34"
"Logitech Z-906 Speaker sys - home theater - 5.1-CH","2243.93"
"GBC DocuBind TL300 Electric Binding System","2233.51"
"Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset","2155.89"
"Canon PC940 Copier","2092.45"
"Sharp AL-1530CS Digital Copier","2064.96"
"Hot File 7-Pocket, Floor Stand","2016.71"
"Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier","1995.99"
"Canon PC1080F Personal Copier","1973.97"
"Adjustable Depth Letter/Legal Cart","1932.55"
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","1927.44"
"Samsung Galaxy Mega 6.3","1822.76"
"Canon Image Class D660 Copier","1691.97"
"Hewlett-Packard Desktjet 6988DT Refurbished Printer","1668.21"
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black","1653.83"
"Sharp 1540cs Digital Laser Copier","1649.97"
"Logitech P710e Mobile Speakerphone","1645.36"
"Dual Level, Single-Width Filing Carts","1640.53"
"Apple iPhone 5","1611.58"
"GBC DocuBind TL200 Manual Binding Machine","1592.50"
"Tennsco 6- and 18-Compartment Lockers","1575.11"
"Global Deluxe High-Back Manager's Chair","1558.59"
"Hon Pagoda Stacking Chairs","1540.70"
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box","1517.91"
"Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room","1503.52"
"Canon PC-428 Personal Copier","1469.93"
"Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer","1459.20"
"Logitech diNovo Edge Keyboard","1432.44"
"Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs","1388.63"
"Iceberg Mobile Mega Data/Printer Cart ","1388.61"
"Deluxe Rollaway Locking File with Drawer","1380.72"
"Bady BDG101FRU Card Printer","1327.98"
"Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat","1305.65"
"Hon Olson Stacker Chairs","1292.13"
"Xerox 1915","1262.39"
"Standard Rollaway File with Lock","1261.33"
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box","1260.22"
"Letter Size Cart","1252.88"
"Hon GuestStacker Chair","1233.08"
"Maxell iVDR EX 500GB Cartridge","1184.82"
"SAFCO Arco Folding Chair","1179.37"
"Panasonic KX-TG9471B","1168.10"
"Brother DCP1000 Digital 3 in 1 Multifunction Machine","1154.96"
"Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System","1147.42"
"Tennsco 16-Compartment Lockers with Coat Rack","1114.37"
"Smead Adjustable Mobile File Trolley with Lockable Top","1106.66"
"Samsung Galaxy S4 Mini","1104.48"
"Easy-staple paper","1096.03"
"Fellowes Powershred HS-440 4-Sheet High Security Shredder","1092.68"
"Ibico EB-19 Dual Function Manual Binding System","1086.38"
"ClearOne CHATAttach 160 - speaker phone","1053.98"
"Hon 4070 Series Pagoda Round Back Stacking Chairs","1052.81"
"GBC DocuBind 200 Manual Binding Machine","1052.45"
"Wilson SignalBoost 841262 DB PRO Amplifier Kit","1043.86"
"Samsung Galaxy S4 Active","1039.98"
"Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset","995.90"
"Lifetime Advantage Folding Chairs, 4/Carton","972.64"
"Bose SoundLink Bluetooth Speaker","967.14"
"Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators","956.95"
"Global Troy Executive Leather Low-Back Tilter","951.86"
"Nortel Meridian M3904 Professional Digital phone","936.26"
"Global Commerce Series High-Back Swivel/Tilt Chairs","926.19"
"Cisco SPA301","904.74"
"Polycom VVX 310 VoIP phone","899.95"
"Polycom CX600 IP Phone VoIP phone","896.85"
"Logitech G700s Rechargeable Gaming Mouse","889.91"
"Imation Bio 2GB USB Flash Drive Imation Corp","881.53"
"Okidata MB760 Printer","881.37"
"Jawbone JAMBOX Wireless Bluetooth Speaker","872.10"
"Safco Contoured Stacking Chairs","870.16"
"Global Leather and Oak Executive Chair, Black","854.78"
"Multicolor Computer Printout Paper","851.38"
"Hewlett Packard 310 Color Digital Copier","839.97"
"GE 30524EE4","838.84"
"Hon Olson Stacker Stools","833.60"
"Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms","832.99"
"Hon Multipurpose Stacking Arm Chairs","814.42"
"Xerox 1908","799.39"
"Global Ergonomic Managers Chair","785.45"
"Mitel MiVoice 5330e IP Phone","780.97"
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","780.33"
"GuestStacker Chair with Chrome Finish Legs","773.26"
"Logitech Wireless Gaming Headset G930","763.15"
"GBC Ibimaster 500 Manual ProClick Binding System","760.98"
"Xerox 1945","756.27"
"Plantronics S12 Corded Telephone Headset System","754.53"
"Staple envelope","751.63"
"Global Executive Mid-Back Manager's Chair","750.73"
"Xerox 189","746.53"
"Wireless Extenders zBoost YX545 SOHO Signal Booster","733.28"
"Xerox 1919","729.62"
"Logitech G19 Programmable Gaming Keyboard","729.06"
"NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router","723.15"
"Enermax Aurora Lite Keyboard","722.11"
"Logitech Wireless Headset h800","719.93"
"Hoover Shoulder Vac Commercial Portable Vacuum","715.64"
"Google Nexus 5","710.96"
"Xerox 1941","704.59"
"Global Leather Executive Chair","701.98"
"Logitech G35 7.1-Channel Surround Sound Headset","699.35"
"Hoover WindTunnel Plus Canister Vacuum","697.44"
"Global Comet Stacking Arm Chair","697.14"
